ID,Severity,Start_Time,City,County,State,Start_Lat,Start_Lng,Weather_Condition,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Crossing,Junction,Station,Stop,Traffic_Signal,Sunrise_Sunset
A-18,2,2022-04-29 08:16:43,Charlotte,Mecklenburg,NC,35.213360778209996,-80.8268176338105,Cloudy,71.9,46.5,10.0,3.1,False,False,False,True,False,Day
A-19,2,2022-08-26 13:45:25,Houston,Harris,TX,29.87958376903691,-95.40552857294212,Cloudy,75.4,93.0,7.3,3.4,False,False,False,False,False,Day
A-20,2,2022-03-20 17:07:42,Miami,Miami-Dade,FL,25.832894184507804,-80.13923878098755,Cloudy,21.3,48.3,6.6,5.2,False,False,False,False,True,Day
A-21,3,2022-06-07 15:45:07,Dallas,Dallas,TX,32.76180372955215,-96.8351176185836,Clear,45.4,38.5,5.9,9.4,False,False,False,False,False,Day
A-22,2,2022-05-03 11:34:38,Los Angeles,Los Angeles,CA,34.09244194205857,-118.22724442751634,Heavy Rain,59.3,53.9,10.0,5.9,True,False,False,False,False,Day
A-23,2,2022-11-26 20:50:03,Miami,Miami-Dade,FL,25.750939956959083,-80.18619101101122,Fair,93.4,27.2,10.0,2.3,False,False,False,False,False,Night
A-24,2,2022-03-11 16:15:12,Houston,Harris,TX,29.688580229542744,-95.45594919948243,Cloudy,59.3,41.4,7.8,3.3,False,False,False,False,False,Day
A-25,2,2022-10-03 19:50:04,Houston,Harris,TX,29.75999803724392,-95.38581708190785,Clear,57.4,53.6,6.7,8.8,False,False,False,False,False,Night
A-26,2,2022-03-15 13:19:23,Austin,Travis,TX,30.193843683517073,-97.72523607941298,Fog,53.8,54.9,10.0,6.6,False,False,False,False,False,Day
A-27,2,2022-11-02 08:33:57,Los Angeles,Los Angeles,CA,34.063848237587244,-118.19252462790973,Fair,53.5,78.3,8.7,4.2,False,False,False,False,False,Day
A-28,3,2022-07-29 04:18:16,Charlotte,Mecklenburg,NC,35.2671239919596,-80.84217313049741,Fair,55.5,76.4,5.0,9.5,False,False,False,False,False,Night
A-29,3,2022-05-25 16:24:17,Dallas,Dallas,TX,32.76585467526027,-96.75169553789107,Heavy Rain,54.9,59.3,9.7,10.2,False,False,False,False,False,Day
A-30,3,2022-06-09 06:54:52,Los Angeles,Los Angeles,CA,34.063747872552774,-118.21683167355668,Rain,54.3,25.3,9.6,10.1,False,False,False,False,False,Day
A-31,2,2022-01-03 08:26:14,Dallas,Dallas,TX,32.787419582414344,-96.7684593642517,Clear,54.3,17.3,10.0,6.6,False,True,False,False,False,Day
A-32,2,2022-11-02 13:12:15,Los Angeles,Los Angeles,CA,34.09441747936458,-118.21292356690049,Rain,59.3,49.4,10.0,3.4,False,False,False,False,False,Day
A-33,2,2022-11-15 14:12:19,Los Angeles,Los Angeles,CA,34.056673776093206,-118.25742863985958,Cloudy,79.3,43.3,10.0,6.1,False,False,False,True,False,Day
A-34,2,2022-05-07 14:46:54,Atlanta,Fulton,GA,33.733263684623076,-84.43745723659035,Clear,48.2,48.2,7.2,4.2,False,False,False,False,False,Day
A-35,2,2022-11-02 07:57:53,Chicago,Cook,IL,41.91804701976992,-87.55131226586361,Clear,55.3,92.4,6.3,0.0,False,True,False,False,False,Day
A-36,4,2022-10-05 09:13:03,Austin,Travis,TX,30.275127909286464,-97.70468359395731,Fair,57.2,47.9,10.0,6.1,False,False,False,False,True,Day
A-37,2,2022-03-20 14:50:54,Miami,Miami-Dade,FL,25.654922158573385,-80.19522384382563,Fair,65.0,42.7,9.0,0.0,False,False,False,False,False,Day
A-38,3,2022-10-14 20:35:33,Los Angeles,Los Angeles,CA,34.034685673030296,-118.21284201634248,Cloudy,53.6,59.9,10.0,4.1,False,False,False,False,False,Night
A-39,2,2022-02-03 16:06:02,Orlando,Orange,FL,28.512441436152194,-81.35933056201092,Clear,96.1,49.6,9.3,4.7,False,False,False,False,False,Day
A-40,2,2022-06-17 18:32:01,Houston,Harris,TX,29.76777296201988,-95.41250671483913,Light Rain,73.7,71.9,10.0,13.2,False,True,False,True,True,Day
A-41,2,2022-08-12 16:15:24,Los Angeles,Los Angeles,CA,34.054199532373204,-118.26059119401776,Light Rain,79.6,64.9,8.1,2.3,True,False,False,False,True,Day
A-42,2,2022-02-10 14:23:14,Charlotte,Mecklenburg,NC,35.12958205035532,-80.77677797173916,Cloudy,68.6,97.1,9.1,7.9,False,False,False,False,False,Day
A-43,2,2022-06-26 07:53:13,Los Angeles,Los Angeles,CA,33.977613915577315,-118.24396493647102,Rain,86.1,54.2,7.7,5.7,False,False,True,False,False,Day
A-44,3,2022-10-30 15:17:19,Atlanta,Fulton,GA,33.70135697515971,-84.36923843683446,Overcast,47.9,98.6,7.3,8.8,True,False,False,False,False,Day
A-45,3,2022-12-02 15:16:15,Miami,Miami-Dade,FL,25.7649227541614,-80.12881910054156,Clear,56.6,74.0,10.0,4.3,False,False,False,False,False,Day
A-46,2,2022-08-14 14:38:51,Dallas,Dallas,TX,32.83039209139758,-96.79741580815102,Overcast,52.8,70.6,8.8,0.7,False,False,False,False,True,Day
A-47,2,2022-01-12 12:59:43,Miami,Miami-Dade,FL,25.68151781345637,-80.23836734934173,Heavy Rain,62.4,20.2,10.0,7.4,False,False,False,False,False,Day
A-48,4,2022-03-25 13:26:45,Charlotte,Mecklenburg,NC,35.19349425243812,-80.83743447108485,Clear,88.8,17.2,6.3,7.1,False,False,True,False,True,Day
A-49,3,2022-02-16 08:09:16,Charlotte,Mecklenburg,NC,35.22467629111448,-80.87101730041454,Fog,98.0,27.8,9.2,7.8,False,True,False,False,False,Day
A-50,2,2022-10-04 13:16:17,Los Angeles,Los Angeles,CA,34.0056300500497,-118.31327881158987,Clear,79.3,64.3,9.3,5.8,False,True,False,False,False,Day
A-51,3,2022-04-01 07:22:33,Chicago,Cook,IL,41.88246901562765,-87.58964764581627,Fair,63.5,75.1,10.0,5.6,False,False,False,False,False,Day
A-52,2,2022-06-15 17:22:56,Austin,Travis,TX,30.299213747425668,-97.75591607002497,Overcast,81.8,70.7,7.2,10.2,False,False,False,False,False,Day
A-53,2,2022-03-13 07:53:19,Atlanta,Fulton,GA,33.71115944371587,-84.53726314411215,Overcast,87.2,60.8,7.8,9.9,False,False,False,False,False,Day
A-54,2,2022-05-23 05:46:51,Atlanta,Fulton,GA,33.76537917360888,-84.37532392598237,Cloudy,82.6,78.1,6.2,3.8,True,False,False,False,True,Night
A-55,2,2022-01-01 11:40:34,Dallas,Dallas,TX,32.77097403983542,-96.7837084737684,Fair,63.0,83.9,10.0,6.4,False,False,False,False,False,Day
A-56,2,2022-01-24 15:16:44,Atlanta,Fulton,GA,33.69154490237016,-84.2904607148227,Cloudy,63.4,53.8,5.6,2.2,False,False,False,False,False,Day
A-57,2,2022-06-05 11:29:22,Los Angeles,Los Angeles,CA,34.04515591887466,-118.24390827079128,Cloudy,55.1,71.2,9.2,9.3,False,False,False,False,False,Day
A-58,2,2022-10-27 08:58:56,Los Angeles,Los Angeles,CA,34.075033298634494,-118.1903194639949,Fair,61.3,67.7,10.0,8.8,False,False,False,False,False,Day
A-59,4,2022-06-23 13:01:38,Los Angeles,Los Angeles,CA,34.12288715023814,-118.2113719450186,Fair,53.0,76.1,10.0,12.7,False,False,False,False,False,Day
A-60,4,2022-05-19 09:17:05,Miami,Miami-Dade,FL,25.84391218714488,-80.22127111113889,Light Rain,64.0,66.6,10.0,9.9,False,False,False,False,True,Day
A-61,2,2022-04-07 19:39:27,Houston,Harris,TX,29.732015763596216,-95.35238534136602,Clear,64.7,65.3,10.0,7.7,False,False,False,False,False,Night
A-62,2,2022-09-07 18:15:38,Miami,Miami-Dade,FL,25.7303026959278,-80.20002094071152,Fair,52.0,47.9,9.3,17.3,False,False,False,False,False,Day
A-63,2,2022-01-16 12:46:12,Austin,Travis,TX,30.269219506338928,-97.77748725318041,Clear,105.3,64.1,9.3,8.4,True,False,False,False,False,Day
A-64,2,2022-05-16 08:01:13,Houston,Harris,TX,29.733265150629784,-95.39562837913444,Cloudy,69.4,53.2,9.0,9.2,False,False,False,False,True,Day
A-65,2,2022-08-11 16:40:27,Miami,Miami-Dade,FL,25.82235162511085,-80.22441473976626,Clear,84.4,38.6,8.8,0.0,False,False,False,False,False,Day
A-66,2,2022-11-19 03:17:55,Charlotte,Mecklenburg,NC,35.23213453694299,-80.84358441290968,Fair,83.0,66.0,7.8,10.2,False,True,False,False,False,Night
A-67,2,2022-12-01 12:40:35,Los Angeles,Los Angeles,CA,34.05496217552879,-118.24393632874911,Clear,94.1,39.6,10.0,16.7,False,False,False,False,False,Day
A-68,2,2022-02-11 08:03:56,Austin,Travis,TX,30.299365389025176,-97.77058977051087,Clear,51.4,59.1,7.9,8.1,True,False,False,False,False,Day
A-69,1,2022-02-08 18:23:19,Los Angeles,Los Angeles,CA,34.06019180880866,-118.25410929201536,Fair,56.8,52.7,8.4,10.1,False,False,True,False,False,Day
A-70,3,2022-10-02 01:30:23,Chicago,Cook,IL,41.89336223240271,-87.7235982748033,Fair,37.8,48.8,6.4,11.4,False,False,False,False,True,Night
A-71,2,2022-02-11 13:12:53,Austin,Travis,TX,30.280359548728487,-97.79352258617146,Fair,40.7,88.1,10.0,14.2,True,False,False,False,False,Day
A-72,2,2022-06-26 16:54:04,Los Angeles,Los Angeles,CA,34.04496810026062,-118.25832219640085,Clear,49.9,92.8,10.0,9.4,False,True,False,False,False,Day
A-73,2,2022-08-09 12:12:28,Los Angeles,Los Angeles,CA,34.00707808194193,-118.16011616966803,Heavy Rain,62.7,54.1,4.5,0.7,False,False,False,False,True,Day
A-74,2,2022-07-30 05:49:26,Austin,Travis,TX,30.355151100760185,-97.7114381705604,Clear,63.6,79.9,10.0,7.9,False,False,False,False,True,Night
A-75,2,2022-02-25 21:03:20,Orlando,Orange,FL,28.493013314444134,-81.4280654890825,Light Rain,112.6,28.4,10.0,10.1,False,True,False,False,False,Night
A-76,3,2022-03-17 13:52:37,Orlando,Orange,FL,28.621011525913996,-81.29845863950237,Cloudy,72.5,36.4,10.0,9.8,False,False,False,False,False,Day
A-77,2,2022-06-22 14:23:07,Austin,Travis,TX,30.28427213113822,-97.74318034173096,Clear,79.6,58.8,9.7,6.4,False,False,False,False,False,Day
A-78,3,2022-01-02 07:20:15,Los Angeles,Los Angeles,CA,34.02212080102257,-118.30043158341434,Fair,67.1,38.7,10.0,5.5,False,False,False,False,False,Day
A-79,2,2022-10-21 12:34:16,Houston,Harris,TX,29.78814287967815,-95.37374572712358,Snow,45.3,67.5,9.7,5.6,False,True,False,False,False,Day
A-80,2,2022-06-09 11:34:51,Los Angeles,Los Angeles,CA,34.091495804345186,-118.19444560459587,Cloudy,69.5,65.8,7.0,6.4,False,False,False,False,True,Day
A-81,2,2022-01-24 05:21:58,Seattle,King,WA,47.69211008157094,-122.38878595821119,Clear,40.8,59.1,8.8,7.5,False,False,False,False,False,Night
A-82,2,2022-06-09 06:48:51,Dallas,Dallas,TX,32.710917761608975,-96.8488068459688,Fair,62.3,100.0,8.0,9.2,False,False,False,False,False,Day
A-83,2,2022-01-04 17:00:01,Miami,Miami-Dade,FL,25.754699845063428,-80.10148407030812,Fair,74.7,67.4,10.0,8.5,False,False,False,False,False,Day
A-84,4,2022-06-01 07:07:21,Los Angeles,Los Angeles,CA,34.12106049035744,-118.22887863220043,Overcast,56.2,71.5,8.5,5.3,True,False,False,False,True,Day
A-85,2,2022-03-28 07:01:50,Miami,Miami-Dade,FL,25.79902764258268,-80.21538295674316,Rain,67.9,69.7,10.0,2.2,False,False,False,False,True,Day
A-86,2,2022-09-11 12:08:12,Miami,Miami-Dade,FL,25.786000875358294,-80.1971106591789,Clear,56.0,42.0,6.8,8.5,True,True,False,False,False,Day
A-87,3,2022-09-01 16:50:52,Orlando,Orange,FL,28.612224382557432,-81.36492384208401,Clear,48.4,99.0,10.0,5.8,False,True,False,False,False,Day
A-88,2,2022-03-06 05:49:06,Dallas,Dallas,TX,32.76770296723079,-96.80667267161714,Clear,72.3,31.9,9.5,13.4,False,False,False,False,False,Night
A-89,2,2022-08-18 14:10:39,Seattle,King,WA,47.48629825947735,-122.26460849900437,Thunderstorm,80.7,65.7,6.3,10.6,False,False,True,False,False,Day
A-90,2,2022-03-18 06:39:01,Charlotte,Mecklenburg,NC,35.20877460996126,-80.83815348843615,Fair,80.6,74.9,10.0,8.4,False,True,False,False,True,Day
A-91,2,2022-10-03 03:43:16,Los Angeles,Los Angeles,CA,34.152787822293966,-118.21051457532329,Light Rain,61.4,79.7,9.5,4.0,True,False,False,False,False,Night
A-92,2,2022-09-15 04:03:34,Orlando,Orange,FL,28.553223797845344,-81.37503422079445,Fair,32.4,53.8,10.0,1.6,False,False,False,False,False,Night
A-93,2,2022-03-29 17:35:30,Austin,Travis,TX,30.22507847472844,-97.74496738594954,Cloudy,66.3,74.9,10.0,7.0,False,False,False,False,False,Day
A-94,2,2022-05-07 06:40:12,Charlotte,Mecklenburg,NC,35.29380647340386,-80.79845220314131,Clear,84.0,39.0,10.0,7.6,False,False,False,False,True,Day
A-95,2,2022-12-23 04:00:35,Austin,Travis,TX,30.30944314518876,-97.69740394328478,Rain,45.3,93.4,10.0,0.1,False,False,False,False,False,Night
A-96,2,2022-07-22 11:07:51,Charlotte,Mecklenburg,NC,35.23445058754331,-80.92477856288144,Fair,91.7,56.7,8.3,8.9,False,False,False,False,False,Day
A-97,2,2022-08-25 17:51:52,Charlotte,Mecklenburg,NC,35.25635660196319,-80.84406392796144,Overcast,34.1,50.1,9.2,7.2,False,True,False,False,False,Day
A-98,2,2022-08-23 08:20:26,Houston,Harris,TX,29.709537254988813,-95.26731453741981,Clear,71.0,47.2,8.3,0.0,False,False,False,False,False,Day
A-99,4,2022-05-31 10:50:49,Los Angeles,Los Angeles,CA,34.034095080285404,-118.2660080881374,Cloudy,77.4,65.9,6.4,3.6,False,False,False,False,False,Day
A-100,2,2022-05-27 04:42:34,Los Angeles,Los Angeles,CA,34.04895343858643,-118.22099658969631,Fair,87.0,28.4,8.1,3.8,False,False,True,False,False,Night
A-101,3,2022-02-28 11:50:41,Los Angeles,Los Angeles,CA,34.107158614867515,-118.18133695736527,Clear,71.9,77.7,10.0,2.1,False,True,False,False,False,Day
A-102,2,2022-12-12 14:04:51,Dallas,Dallas,TX,32.74926266113199,-96.85240714612367,Fair,60.1,48.1,9.8,8.5,False,True,False,False,False,Day
A-103,2,2022-11-02 14:07:10,Miami,Miami-Dade,FL,25.760412514812522,-80.21046386626186,Fair,67.5,86.1,6.7,14.2,True,True,False,False,False,Day
A-104,2,2022-09-06 08:38:46,Charlotte,Mecklenburg,NC,35.2991495746749,-80.92169427133196,Clear,54.8,35.2,8.8,8.9,False,True,False,False,False,Day
A-105,3,2022-07-01 08:20:51,Atlanta,Fulton,GA,33.87521634837798,-84.38277704072628,Clear,35.2,62.6,7.4,9.5,False,True,False,False,True,Day
A-106,2,2022-03-22 06:48:37,Miami,Miami-Dade,FL,25.71816806364907,-80.17255834985659,Fair,61.4,71.1,9.9,3.9,False,True,False,False,True,Day
A-107,3,2022-08-14 09:07:06,Houston,Harris,TX,29.767397879485227,-95.337627334405,Clear,72.4,73.2,7.6,9.0,False,False,False,False,False,Day
A-108,4,2022-08-05 06:22:28,Austin,Travis,TX,30.191802354286093,-97.6644112208831,Fair,80.4,49.7,7.9,6.3,False,False,False,False,False,Day
A-109,2,2022-09-19 16:36:19,Miami,Miami-Dade,FL,25.76097495355941,-80.18862453120165,Fair,57.7,35.3,6.4,7.0,False,True,False,False,False,Day
A-110,1,2022-07-13 20:49:14,Los Angeles,Los Angeles,CA,34.037694777484234,-118.30133105810073,Clear,87.2,50.9,10.0,4.6,False,False,False,False,False,Night
A-111,2,2022-11-17 20:41:02,Miami,Miami-Dade,FL,25.824251648422788,-80.23584690076373,Clear,62.5,83.3,8.9,0.7,False,True,False,False,False,Night
A-112,2,2022-06-20 17:28:44,Los Angeles,Los Angeles,CA,33.99355471821291,-118.2818138683182,Light Rain,72.2,100.0,8.8,10.7,False,False,False,False,False,Day
A-113,2,2022-06-13 14:52:28,Atlanta,Fulton,GA,33.6835008481922,-84.37761544380494,Clear,76.2,27.5,9.7,7.6,False,False,False,False,False,Day
A-114,3,2022-03-27 16:40:48,Austin,Travis,TX,30.343246736429286,-97.62560127569066,Cloudy,65.8,45.2,9.8,6.1,False,True,False,False,True,Day
A-115,1,2022-12-07 08:00:43,Dallas,Dallas,TX,32.74504338951348,-96.80060210011781,Fair,63.6,25.4,7.6,14.3,True,False,False,False,False,Day
A-116,2,2022-06-08 15:36:07,Seattle,King,WA,47.61607155707841,-122.2633972322837,Fog,88.4,49.0,9.5,3.0,False,False,False,False,False,Day
A-117,2,2022-09-19 11:34:05,Austin,Travis,TX,30.28195222836243,-97.7488026190574,Clear,39.5,47.2,9.2,9.6,False,False,False,False,True,Day
A-118,4,2022-07-22 12:17:55,Los Angeles,Los Angeles,CA,34.01283421888842,-118.30177794091492,Light Rain,65.6,36.1,10.0,15.2,False,False,False,False,False,Day
A-119,2,2022-11-28 16:06:43,Atlanta,Fulton,GA,33.70968745244073,-84.42881917765196,Fair,37.5,93.3,10.0,8.7,False,False,False,False,False,Day
A-120,3,2022-10-09 08:28:30,Charlotte,Mecklenburg,NC,35.28344548423516,-80.87955419736944,Clear,38.0,82.9,9.0,2.4,False,False,False,False,False,Day
A-121,4,2022-10-17 08:42:35,Austin,Travis,TX,30.301053604442266,-97.74921238557742,Clear,64.2,64.9,9.0,10.9,False,True,False,False,False,Day
A-122,2,2022-07-18 19:05:24,Atlanta,Fulton,GA,33.74821562701208,-84.367722531009,Fair,57.1,57.8,8.6,4.8,False,False,False,False,False,Night
A-123,2,2022-08-08 04:08:19,Miami,Miami-Dade,FL,25.754860408758788,-80.22472714244665,Clear,96.2,77.9,9.2,4.5,False,False,False,False,False,Night
A-124,2,2022-02-21 12:36:26,Los Angeles,Los Angeles,CA,34.06803054424261,-118.20416925612454,Fair,61.2,40.0,8.9,3.4,True,False,False,False,False,Day
A-125,2,2022-02-07 18:01:49,Miami,Miami-Dade,FL,25.780809960596006,-80.1394392809894,Rain,82.0,64.8,9.3,13.5,False,False,False,True,False,Day
A-126,3,2022-03-09 14:32:23,Houston,Harris,TX,29.823457276110872,-95.38296761335982,Fair,65.8,47.9,6.1,5.4,False,True,True,False,True,Day
A-127,1,2022-08-14 13:41:33,Austin,Travis,TX,30.266157194421943,-97.69719295549989,Fair,47.0,100.0,7.7,3.3,False,False,False,False,False,Day
A-128,2,2022-04-12 07:54:55,Seattle,King,WA,47.62834903741001,-122.42921174165043,Overcast,38.6,32.8,10.0,12.0,False,False,False,False,False,Day
A-129,2,2022-02-24 09:45:10,Los Angeles,Los Angeles,CA,34.08810893975893,-118.36161190992009,Overcast,44.5,54.6,7.7,0.6,False,True,False,False,False,Day
A-130,2,2022-08-24 17:06:15,Charlotte,Mecklenburg,NC,35.26388875950192,-80.80146055639386,Clear,69.9,34.1,8.7,7.3,False,False,False,False,True,Day
A-131,2,2022-08-01 13:44:00,Houston,Harris,TX,29.832885979268063,-95.39089578701528,Cloudy,89.0,75.0,9.4,4.3,False,False,False,False,False,Day
A-132,2,2022-11-09 13:19:34,Miami,Miami-Dade,FL,25.761070561067605,-80.08161716035553,Fair,51.3,75.0,8.7,9.4,False,False,False,False,True,Day
A-133,3,2022-05-18 06:36:40,Los Angeles,Los Angeles,CA,34.02390663840126,-118.24834271585546,Clear,77.6,46.0,7.9,5.3,True,True,False,False,False,Day
A-134,2,2022-06-09 01:11:29,Miami,Miami-Dade,FL,25.74380184883854,-80.24181404412693,Clear,62.3,35.2,10.0,1.4,False,False,False,False,False,Night
A-135,2,2022-05-18 20:26:41,Atlanta,Fulton,GA,33.78104133420475,-84.30366546334788,Clear,49.0,52.3,6.9,7.6,False,False,False,False,False,Night
A-136,3,2022-07-09 09:04:40,Miami,Miami-Dade,FL,25.756294932896825,-80.15901071694233,Fair,70.3,46.0,4.9,5.2,False,True,False,False,False,Day
A-137,4,2022-07-18 14:27:25,Charlotte,Mecklenburg,NC,35.34143988112469,-80.76566123503477,Clear,88.9,61.3,10.0,10.4,False,False,False,False,False,Day
A-138,2,2022-10-03 05:51:48,Orlando,Orange,FL,28.538929446662262,-81.40852647212047,Fair,63.9,92.4,6.4,7.3,False,False,False,False,True,Night
A-139,2,2022-11-26 15:20:00,Houston,Harris,TX,29.71265233445925,-95.35157738517724,Fair,77.4,73.2,10.0,15.6,False,False,False,False,True,Day
A-140,2,2022-12-22 19:47:57,Chicago,Cook,IL,41.89423508336565,-87.67357947412826,Cloudy,69.6,75.2,8.2,4.8,True,False,False,False,False,Night
A-141,2,2022-07-14 14:14:54,Chicago,Cook,IL,41.9550406106378,-87.71709397056458,Cloudy,69.7,59.9,10.0,11.7,False,False,False,False,True,Day
A-142,3,2022-02-26 06:04:05,Miami,Miami-Dade,FL,25.720912009513768,-80.15467815553494,Cloudy,53.0,100.0,8.5,5.6,False,False,False,False,True,Day
A-143,2,2022-10-27 14:51:29,Charlotte,Mecklenburg,NC,35.18486892674495,-80.86594204586162,Light Rain,72.4,62.3,7.9,6.5,False,False,False,False,False,Day
A-144,3,2022-04-21 16:10:30,Miami,Miami-Dade,FL,25.75235923147675,-80.24158997606997,Light Rain,43.1,74.5,10.0,10.0,False,False,False,False,False,Day
A-145,2,2022-11-06 10:12:11,Miami,Miami-Dade,FL,25.729404472058373,-80.26120674267601,Light Rain,70.4,82.0,10.0,3.2,False,False,False,False,False,Day
A-146,2,2022-03-26 18:01:52,Los Angeles,Los Angeles,CA,33.984689095154394,-118.23456346007946,Clear,85.6,59.0,10.0,11.8,False,True,False,False,False,Day
A-147,2,2022-11-21 15:54:35,Dallas,Dallas,TX,32.699658958088015,-96.79379296974648,Clear,92.1,64.1,4.0,9.8,False,False,False,False,False,Day
A-148,2,2022-03-01 18:27:27,Charlotte,Mecklenburg,NC,35.23872143019001,-80.86727328819589,Fair,49.4,48.6,5.0,10.2,True,False,False,True,False,Day
A-149,1,2022-01-17 15:37:06,Los Angeles,Los Angeles,CA,34.08795215535073,-118.27740971095024,Fair,71.6,60.4,6.8,10.7,False,True,False,False,False,Day
A-150,2,2022-04-07 06:31:10,Miami,Miami-Dade,FL,25.726641788891822,-80.15349596336374,Clear,54.4,89.3,6.8,9.3,True,False,False,False,False,Day
A-151,2,2022-07-30 08:29:05,Atlanta,Fulton,GA,33.74547406535009,-84.51211243390112,Clear,67.1,83.3,8.0,9.7,False,False,False,False,False,Day
A-152,3,2022-07-25 07:13:40,Miami,Miami-Dade,FL,25.770948096354275,-80.16025145249854,Fog,93.8,73.8,9.1,12.3,False,False,True,False,True,Day
A-153,2,2022-12-29 18:12:25,Los Angeles,Los Angeles,CA,33.99693829658102,-118.22043929593275,Clear,78.2,78.2,9.4,7.0,False,False,False,False,False,Day
A-154,3,2022-12-28 16:11:17,Charlotte,Mecklenburg,NC,35.27004303485074,-80.90461916060562,Fair,55.2,59.3,10.0,6.3,False,False,False,False,False,Day
A-155,2,2022-03-05 15:20:47,Chicago,Cook,IL,41.88869501677088,-87.72651592682527,Clear,54.4,79.0,7.6,8.9,False,False,False,False,False,Day
A-156,3,2022-10-07 08:52:55,Miami,Miami-Dade,FL,25.787923825482537,-80.16237204704605,Cloudy,65.3,57.0,8.8,7.4,False,True,False,False,False,Day
A-157,4,2022-03-07 07:42:23,Orlando,Orange,FL,28.57229843323989,-81.43789090196549,Fair,66.3,27.3,8.9,10.7,False,False,False,False,True,Day
A-158,2,2022-09-15 16:22:12,Austin,Travis,TX,30.388488149902745,-97.66443046850017,Clear,67.0,96.6,9.0,14.5,False,False,False,False,True,Day
A-159,3,2022-04-19 12:52:48,Miami,Miami-Dade,FL,25.710470097675213,-80.08589663187206,Fog,42.7,55.9,8.0,3.2,False,False,False,False,False,Day
A-160,2,2022-12-27 07:13:15,Orlando,Orange,FL,28.49366158785691,-81.35786215048174,Overcast,95.0,81.1,9.4,7.4,False,True,False,False,True,Day
A-161,3,2022-12-05 14:37:57,Houston,Harris,TX,29.844546243227995,-95.37487069368207,Cloudy,96.5,52.7,6.9,2.7,False,False,False,False,True,Day
A-162,2,2022-05-27 04:38:25,Dallas,Dallas,TX,32.80931140408048,-96.80795126839242,Heavy Rain,72.2,10.0,10.0,6.2,False,False,False,False,False,Night
A-163,2,2022-09-28 08:00:31,Dallas,Dallas,TX,32.78015136117454,-96.88229701248592,Fair,51.9,58.5,7.2,6.4,False,True,False,False,False,Day
A-164,2,2022-05-28 12:51:20,Charlotte,Mecklenburg,NC,35.20319567349013,-80.85738618229377,Cloudy,55.6,23.2,9.8,5.4,False,False,False,False,True,Day
